"board","drift_deg","roll_case","element_index","sub_index","boundary_layer_mm","Cl0_Savitsky","Cl0_theorique","Cv_Savitsky","delta_plan_horizontal_deg","deviation_rail_deg","Fx_friction_n","Fx_planing","Fx_rail_n","Fx_rocker","Fz_planing_n","lamda_Savitsky","laminar_boundary_layer_mm","laminar_turbulent_transition_mm","largeur_B_element_mm","longueur_calcul_largeur_element_mm","longueur_element_mm","longueur_mouillee_element_mm","masse_flux_devie_kg_sec_planing","portance_globale_verticale_n","pression_dynamique_B","section_frontale_flux_devie_m2_planing","surface_contact_m2","surface_coupe_partie_immergee_m2","surface_max_element_m2","trainee_globale_horizontale_n","volume_deplacement_litres","volume_litres","inclinaison_roulis_rad_ligne_attack","inclinaison_roulis_rad_ligne_surface","index_dernier_element_on_attack","index_L1_max","index_L1_min","index_L2_max","index_L2_min","index_nose","index_point_contact","index_point_decrochage","index_point_roulis_avant_dans_tab_index_axe_roulis","index_premier_element_on_attack","index_tail","point_attack_on_outline","rho_v_kg_m2_s","rho_kgm3","scan_speed_ms","incidence_deg_derived","incidence_deg_stored_parent"
"default_shortboard","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.0807075500488","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","0","-1","-1","-1","-1","-1","0","-1","0","NaN","NaN","NaN","NaN","19.4426879882813"
"default_shortboard","0","0","0","1","0.774754405021667","0","0","0","-2.83990073204041","0","0.725264430046082","12.0621585845947","0","0","56.6739730834961","0","0.145153880119324","20.5278587341309","22.0807075500488","0","0","47.1477928161621","8.07643508911133","56.5762062072754","0","0.000394742644857615","0.00104105658829212","0.00113195553421974","0","12.7332639694214","0","0.0249943789094687","0","0","0","-1","-1","0","-1","-1","58","0","-1","0","-1","0","20460.0014574674","1023","20.0000014246993","22.2825895713494","19.4426879882813"
"default_shortboard","0","0","0","2","0.763055264949799","0","0","0","-3.01700115203857","0","0.71502411365509","12.1936864852905","0","0","56.7563095092773","0","0.145153880119324","20.5278587341309","22.0807075500488","0","0","46.571605682373","8.03787231445313","56.6849899291992","0","0.000392857880797237","0.00102833402343094","0.00124351086560637","0","12.8544750213623","0","0.0274576023221016","0","0","0","-1","-1","0","-1","-1","49","0","-1","0","-1","0","20460.0001866875","1023","20.0000001824902","22.4596897849263","19.4426879882813"
"default_shortboard","0","0","0","3","0.643817842006683","0","0","0","-3.84248685836792","0","0.610654771327972","11.8721332550049","0","0","52.925910949707","0","0.145153880119324","20.5278587341309","22.0807075500488","0","0","40.8081245422363","7.28787183761597","52.874626159668","0","0.000356200966052711","0.000901072344277054","0.00116820121183991","0","12.4330492019653","0","0.0257947109639645","0","0","0","-1","-1","0","-1","-1","39","0","-1","0","-1","0","20460.0002026314","1023","20.0000001980757","23.2851771136014","19.4426879882813"
"default_shortboard","0","0","0","4","0.60724002122879","0","0","0","-3.80929255485535","0","0.578637957572937","11.3231620788574","0","0","50.5652770996094","0","0.145153880119324","20.5278587341309","22.0807075500488","0","0","39.0834350585938","6.97046422958374","50.4934196472168","0","0.000340687402058393","0.000862989923916757","0.00100301997736096","0","11.8548011779785","0","0.0221473928540945","0","0","0","-1","-1","0","-1","-1","31","0","-1","0","-1","0","20459.9999514776","1023","19.9999999525685","23.2519829167277","19.4426879882813"
"default_shortboard","0","0","0","5","0.663899719715118","0","0","0","-3.51021647453308","0","0.628232598304749","11.6512432098389","0","0","52.8447189331055","0","0.145153880119324","20.5278587341309","22.0807075500488","0","0","41.7641220092773","7.35797119140625","52.7658081054688","0","0.000359627127181739","0.000922181410714984","0.00105925556272268","0","12.229736328125","0","0.0233891140669584","0","0","0","-1","-1","0","-1","-1","31","0","-1","0","-1","0","20460.0004706761","1023","20.0000004600939","22.9529067065575","19.4426879882813"
"default_shortboard","0","0","0","6","0.767882823944092","0","0","0","-3.50966739654541","0","0.719249725341797","13.0577754974365","0","0","59.2258071899414","0","0.145153880119324","20.5278587341309","22.0807075500488","0","0","46.8091430664063","8.24661159515381","59.1896324157715","0","0.000403060228563845","0.00103357911575586","0.00144963664934039","0","13.7200813293457","0","0.0320090055465698","0","0","0","-1","-1","0","-1","-1","41","0","-1","0","-1","0","20459.998309775","1023","19.9999983477762","22.9523573959522","19.4426879882813"
"default_shortboard","0","0","0","7","0.948051035404205","0","0","0","-3.05319905281067","0","0.876952230930328","14.6995763778687","0","0","68.2893142700195","0","0.145153880119324","20.5278587341309","22.0807075500488","0","0","55.8787994384766","9.65895462036133","68.2164459228516","0","0.000472089624963701","0.00123384350445122","0.00158556527458131","0","15.5097990036011","0","0.0350104011595249","0","0","0","-1","-1","0","-1","-1","45","0","-1","0","-1","0","20460.0018928694","1023","20.0000018503122","22.4958878896803","19.4426879882813"
"default_shortboard","0","0","0","8","1.1205393075943","0","0","0","-2.61221528053284","0","1.0279324054718","16.1097965240479","0","0","76.6170959472656","0","0.145153880119324","20.5278587341309","22.0807075500488","0","0","64.8890686035156","11.0076389312744","76.4979553222656","0","0.000538007763680071","0.00143279659096152","0.00165312562603503","0","17.0625095367432","0","0.0365021824836731","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20460.0001605556","1023","20.0000001569459","22.0549025754766","19.4426879882813"
"default_shortboard","0","0","0","9","0.271563529968262","0","0","0","-2.83517336845398","0","0.284818053245544","6.29422092437744","0","0","29.5807914733887","0","0.145153880119324","20.5278587341309","22.0807075500488","0","0","24.6177139282227","4.21617460250854","29.5356826782227","0","0.000206069147679955","0.000543576607014984","0.000457265792647377","0","6.55777931213379","0","0.0100967530161142","0","0","0","-1","-1","0","-1","-1","50","0","-1","0","-1","0","20459.9992283011","1023","19.9999992456511","22.2778637913121","19.4426879882813"
"default_shortboard","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.3283214569092","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","0","-1","-1","-1","-1","-1","0","-1","0","NaN","NaN","NaN","NaN","16.066858291626"
"default_shortboard","0","0","1","1","0.86937803030014","0","0","0","-2.7790994644165","0","0.853748142719269","8.57484245300293","0","0","48.8979225158691","0","0.145153880119324","20.5278587341309","23.3283214569092","0","0","51.871509552002","7.99749612808228","48.7249336242676","0","0.000390884466469288","0.00121007522102445","0.00124622776638716","0","9.38282203674316","0","0.0290724020451307","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20459.9998570438","1023","19.9999998602579","18.8459585189318","16.066858291626"
"default_shortboard","0","0","1","2","0.832910001277924","0","0","0","-3.11736702919006","0","0.820023834705353","8.71660709381104","0","0","48.7145156860352","0","0.145153880119324","20.5278587341309","23.3283214569092","0","0","50.0379981994629","7.84811496734619","48.6008605957031","0","0.000383583334041759","0.00116730248555541","0.00146973237860948","0","9.49109268188477","0","0.0342863909900188","0","0","0","-1","-1","0","-1","-1","46","0","-1","0","-1","0","20459.9998770848","1023","19.9999998798483","19.1842249450476","16.066858291626"
