"board","drift_deg","roll_case","element_index","sub_index","boundary_layer_mm","Cl0_Savitsky","Cl0_theorique","Cv_Savitsky","delta_plan_horizontal_deg","deviation_rail_deg","Fx_friction_n","Fx_planing","Fx_rail_n","Fx_rocker","Fz_planing_n","lamda_Savitsky","laminar_boundary_layer_mm","laminar_turbulent_transition_mm","largeur_B_element_mm","longueur_calcul_largeur_element_mm","longueur_element_mm","longueur_mouillee_element_mm","masse_flux_devie_kg_sec_planing","portance_globale_verticale_n","pression_dynamique_B","section_frontale_flux_devie_m2_planing","surface_contact_m2","surface_coupe_partie_immergee_m2","surface_max_element_m2","trainee_globale_horizontale_n","volume_deplacement_litres","volume_litres","inclinaison_roulis_rad_ligne_attack","inclinaison_roulis_rad_ligne_surface","index_dernier_element_on_attack","index_L1_max","index_L1_min","index_L2_max","index_L2_min","index_nose","index_point_contact","index_point_decrochage","index_point_roulis_avant_dans_tab_index_axe_roulis","index_premier_element_on_attack","index_tail","point_attack_on_outline","rho_v_kg_m2_s","rho_kgm3","scan_speed_ms","incidence_deg_derived","incidence_deg_stored_parent"
"default_shortboard_Copy_1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.3323879241943","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","0","-1","-1","-1","-1","-1","0","-1","0","NaN","NaN","NaN","NaN","45"
"default_shortboard_Copy_1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.3323879241943","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","0","-1","-1","-1","-1","-1","0","-1","0","NaN","NaN","NaN","NaN","45"
"default_shortboard_Copy_1","0","0","0","2","0.452331840991974","0","0","0","-6.90574359893799","0","0.441242456436157","93.6820983886719","0","0","118.750900268555","0","0.184537619352341","26.0975608825684","21.3323879241943","0","0","35.5314292907715","12.2286643981934","118.40364074707","0","0.000596520199906081","0.000757970206905156","0.000742581498343498","0","1778.85620117188","12.3009557723999","0.0158410370349884","0","0","0","-1","-1","0","-1","-1","47","0","-1","0","-1","0","20500.0005031157","1025","20.0000004908446","51.9057432208564","45"
"default_shortboard_Copy_1","0","0","0","3","0.645485699176788","0","0","0","-12.4621706008911","6.05527782440186","0.604900896549225","149.504989624023","2.93676209449768","2.93676209449768","146.686920166016","0","0.184537619352341","26.0975608825684","21.3323879241943","0","0","43.8741760253906","16.1751651763916","143.701171875","0","0.000789032375905663","0.000935940945055336","0.00164528749883175","0","1842.04675292969","15.1892099380493","0.0350979119539261","0","0","0","-1","-1","0","-1","-1","56","2","-1","0","-1","0","20500.001863454","1025","20.0000018180039","57.4621693179091","45"
"default_shortboard_Copy_1","0","0","0","4","0.572662770748138","0","0","0","-13.213321685791","0","0.54319828748703","142.993789672852","0.0254962090402842","0.0254962090402842","135.291976928711","0","0.184537619352341","26.0975608825684","21.3323879241943","0","0","40.6428375244141","15.1078987121582","134.808578491211","0","0.000736970687285066","0.000867008813656867","0.00184697762597352","0","1716.71569824219","14.0705223083496","0.0394004471600056","0","0","0","-1","-1","0","-1","-1","56","0","-1","0","-1","0","20499.9994881945","1025","19.9999995006776","58.2133287794672","45"
"default_shortboard_Copy_1","0","0","0","5","0.271366864442825","0","0","0","-7.30721282958984","0","0.287911593914032","77.0019836425781","0","0","95.8773651123047","0","0.184537619352341","26.0975608825684","21.3323879241943","0","0","28.6328754425049","9.9083137512207","95.649543762207","0","0.000483332405565307","0.000610807619523257","0.000250916054937989","0","1465.33154296875","9.91268157958984","0.00535263866186142","0","0","0","-1","-1","0","-1","-1","16","0","-1","0","-1","0","20499.9988354431","1025","19.9999988638469","52.3072181890568","45"
"default_shortboard_Copy_1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.3323879241943","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","0","-1","-1","-1","-1","-1","0","-1","0","NaN","NaN","NaN","NaN","45"
"default_shortboard_Copy_1","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.3323879241943","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","0","-1","-1","-1","-1","-1","0","-1","0","NaN","NaN","NaN","NaN","45"
"default_shortboard_Copy_1","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.3323879241943","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","0","-1","-1","-1","-1","-1","0","-1","0","NaN","NaN","NaN","NaN","45"
"default_shortboard_Copy_1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.3323879241943","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","0","-1","-1","-1","-1","-1","0","-1","0","NaN","NaN","NaN","NaN","45"
