"board","drift_deg","roll_case","n_elements","drag_total_n","lift_total_n","incidence_deg_mean","n_incidence","pos_y"
"Laser_Zap_Ben_Aipa","0","0","11","81623.4996948242","148622.824157715","9.0563397813927","11","0"
"Laser_Zap_Ben_Aipa","0","1","12","3084.79633331299","6156.43176269531","8.53309415777524","12","0.0252041164785624"
"Laser_Zap_Ben_Aipa","0","2","8","1652.77179718018","4085.3571472168","9.07875725626945","8","0.0504082329571247"
"Laser_Zap_Ben_Aipa","0","3","8","1955.51482391357","3485.38372802734","17.709636926651","8","0.0756123512983322"
"Laser_Zap_Ben_Aipa","0","4","4","508.66332244873","2061.32006835938","10.3728694915771","4","0.100816465914249"
"Laser_Zap_Ben_Aipa","10","0","9","68560.1674728394","116751.929504395","10.4078465037876","9","0"
"Laser_Zap_Ben_Aipa","10","1","12","189304.078933716","164351.634155273","18.7204747994741","12","0.0252041164785624"
"Laser_Zap_Ben_Aipa","10","2","11","194940.657096863","122630.327056885","23.8097307465293","11","0.0504082329571247"
"Laser_Zap_Ben_Aipa","10","3","11","94613.7085876465","117368.868560791","29.5645983964205","11","0.0756123512983322"
"Laser_Zap_Ben_Aipa","10","4","8","901.966262817383","4098.68240356445","10.3788177967072","8","0.100816465914249"
"Laser_Zap_Ben_Aipa","15","0","8","1979.06420135498","4102.54434204102","6.51498772203922","8","0"
"Laser_Zap_Ben_Aipa","15","1","12","206199.99559021","203554.007629395","20.1278046766917","12","0.0252041164785624"
"Laser_Zap_Ben_Aipa","15","2","11","192048.777038574","154055.43572998","23.3229965296659","11","0.0504082329571247"
"Laser_Zap_Ben_Aipa","15","3","11","99116.6885375977","99001.2399101257","32.4055553261106","11","0.0756123512983322"
"Laser_Zap_Ben_Aipa","15","4","8","1380.27993774414","4067.68084716797","10.6122887730598","8","0.100816465914249"
"Laser_Zap_Ben_Aipa","2","0","11","74878.9115371704","137618.672851563","8.98468327522278","11","0"
"Laser_Zap_Ben_Aipa","2","1","11","133266.219436646","96968.9671630859","16.2183560891585","11","0.0252041164785624"
"Laser_Zap_Ben_Aipa","2","2","10","2434.92092895508","5004.31594848633","10.029473233223","10","0.0504082329571247"
"Laser_Zap_Ben_Aipa","2","3","7","1594.34481811523","2724.26581573486","17.0089925357274","7","0.0756123512983322"
"Laser_Zap_Ben_Aipa","2","4","5","597.659881591797","2562.79489135742","9.51700716018677","5","0.100816465914249"
"Laser_Zap_Ben_Aipa","20","0","8","2033.51706695557","4067.34991455078","6.60893148183823","8","0"
"Laser_Zap_Ben_Aipa","20","1","12","257452.829612732","294890.186981201","23.153538564841","12","0.0252041164785624"
"Laser_Zap_Ben_Aipa","20","2","10","140392.272697449","137855.545806885","20.8273183584213","10","0.0504082329571247"
"Laser_Zap_Ben_Aipa","20","3","10","67447.3037967682","58174.104511261","31.9831280231476","10","0.0756123512983322"
"Laser_Zap_Ben_Aipa","20","4","7","2281.91181945801","3340.88098144531","9.93764209747314","7","0.100816465914249"
"Laser_Zap_Ben_Aipa","30","0","7","1385.26916503906","3566.64630126953","7.12313304628645","7","0"
"Laser_Zap_Ben_Aipa","30","1","12","217246.966514587","278560.598999023","19.9958905975024","12","0.0252041164785624"
"Laser_Zap_Ben_Aipa","30","2","10","166675.660903931","200722.407470703","20.0531167507172","10","0.0504082329571247"
"Laser_Zap_Ben_Aipa","30","3","10","115656.083015442","135745.733551025","23.1576786994934","10","0.0756123512983322"
"Laser_Zap_Ben_Aipa","30","4","7","4775.73168945313","2719.92391967773","14.192022391728","7","0.100816465914249"
"Laser_Zap_Ben_Aipa","45","0","3","252.92707824707","1548.11749267578","11.5049460728963","3","0"
"Laser_Zap_Ben_Aipa","45","1","12","260643.896476746","393836.671722412","22.6158452232679","12","0.0252041164785624"
"Laser_Zap_Ben_Aipa","45","2","10","51415.1090164185","70265.0430297852","12.2553302168846","10","0.0504082329571247"
"Laser_Zap_Ben_Aipa","45","3","9","3399.88407707214","3915.55142974854","14.3910262319777","9","0.0756123512983322"
"Laser_Zap_Ben_Aipa","45","4","7","6841.04586791992","2618.62329101563","12.9569019249507","7","0.100816465914249"
"Laser_Zap_Ben_Aipa","5","0","10","72698.3627319336","131444.622924805","9.49715433120728","10","0"
"Laser_Zap_Ben_Aipa","5","1","12","203466.579322815","145246.945861816","18.6225432554881","12","0.0252041164785624"
"Laser_Zap_Ben_Aipa","5","2","10","54180.2401885986","28507.8623352051","13.5003974914551","10","0.0504082329571247"
"Laser_Zap_Ben_Aipa","5","3","9","19492.1424560547","31468.4734678268","32.5998279253642","9","0.0756123512983322"
"Laser_Zap_Ben_Aipa","5","4","6","736.231338500977","3076.09838867188","10.7988328933716","6","0.100816465914249"
"Laser_Zap_Ben_Aipa","60","0","6","4517.94709777832","2942.29907226563","5.93476049105326","6","0.0252041164785624"
"Laser_Zap_Ben_Aipa","60","1","10","8860.42441558838","4885.74508666992","6.14469210347161","10","0.0504082329571247"
"Laser_Zap_Ben_Aipa","60","2","9","8354.0821762085","4012.75720214844","7.28672872649299","9","0.0756123512983322"
"Laser_Zap_Ben_Aipa","60","3","10","10336.1038665771","3904.232421875","6.24255437850952","10","0.100816465914249"
"Laser_Zap_Ben_Aipa","75","0","5","2540.37518310547","2419.89416503906","6.15369362831116","5","0.0252041164785624"
"Laser_Zap_Ben_Aipa","75","1","11","9266.12600708008","5280.32388305664","5.97600616108287","11","0.0504082329571247"
"Laser_Zap_Ben_Aipa","75","2","10","9089.93731689453","4522.22552490234","6.60422315597534","10","0.0756123512983322"
"Laser_Zap_Ben_Aipa","75","3","8","8358.1314239502","3309.82476806641","6.73208999633789","8","0.100816465914249"
"Laser_Zap_Ben_Aipa","90","0","5","28409.489730835","42985.2809448242","13.9477035999298","5","0.0252041164785624"
"Laser_Zap_Ben_Aipa","90","1","10","8115.89707183838","4792.61791992188","5.57875706329942","10","0.0504082329571247"
"Laser_Zap_Ben_Aipa","90","2","9","10627.8388366699","12858.7496032715","11.0297652085622","9","0.0756123512983322"
"Laser_Zap_Ben_Aipa","90","3","8","10675.44921875","8176.19174194336","11.0155457258224","8","0.100816465914249"
