"board","drift_deg","roll_case","n_elements","rho_v_kg_m2_s","rho_kgm3","n_rho_refused","scan_speed_ms","board_speed_setting_ms","roll_rad","roll_min_rad","roll_max_rad","turn_radius_m","yaw_rate_rad_s","drag_total_n","drag_friction_n","drag_planing_n","drag_rail_n","lift_total_n","contact_area_m2","volume_litres","total_mass_kg"
"2003_Taylor_Knox_channel_island_Copy_1","0","0","12","20500.0000778896","1025","0","20.0000000759899","10","0","0","0","100000","0.000200000000759899","2963.99185180664","2294.05033040047","487.366923332214","187.549778394503","6091.43203735352","4.01314608892426","119.060026362538","2.10402965545654"
"2003_Taylor_Knox_channel_island_Copy_1","0","1","9","20500.0006517849","1025","0","20.0000006358877","10","0.140111655410793","0.053567249327898","0.36172679066658","100000","0.000200000006358877","1731.75588226318","1381.04835939407","313.903007507324","40.5445218752138","4572.35125732422","2.30943769216537","68.4036364406347","2.10402965545654"
"2003_Taylor_Knox_channel_island_Copy_1","0","2","9","20500.0001062931","1025","0","20.0000001037006","10","0.31997234457069","0.199218541383743","0.496266037225723","100000","0.000200000001037006","1462.40021514893","1031.20611190796","342.337509155273","92.9520938096102","4568.7756652832","1.70096022635698","48.8307433724403","2.10402965545654"
"2003_Taylor_Knox_channel_island_Copy_1","0","3","8","20500.0003642531","1025","0","20.0000003553689","10","0.692451111972332","0.514085948467255","1.09018635749817","100000","0.000200000003553689","1378.40426635742","542.579632043839","813.822231292725","26.6699665733613","3900.27447509766","0.86881988029927","23.6917581781745","2.10402965545654"
"2003_Taylor_Knox_channel_island_Copy_1","0","4","6","20500.0000820811","1025","0","20.0000000800791","10","1.15471581617991","1.01212513446808","1.30905699729919","100000","0.000200000000800791","10865.871673584","211.812221288681","1184.76496124268","7.82209109701216","2760.24766540527","0.330999167636037","8.00354319810867","2.10402965545654"
"2003_Taylor_Knox_channel_island_Copy_1","10","0","9","20499.9994245298","1025","0","19.9999994385656","10","-0.0183532292333742","-0.0390263870358467","-0.00601657759398222","100000","0.000199999994385656","1568.97348022461","1125.49704456329","437.348932266235","9.91410116117913","4573.8313293457","1.84616072522476","53.5981200039387","2.10402965545654"
"2003_Taylor_Knox_channel_island_Copy_1","10","1","9","20500.0009248802","1025","0","20.0000009023221","10","0.118887499388721","0.0463330186903477","0.347945153713226","100000","0.000200000009023221","10607.2720489502","1049.02127492428","589.06408405304","10.6417578359251","4507.07482910156","1.67395456461236","48.5864135064185","2.10402965545654"
"2003_Taylor_Knox_channel_island_Copy_1","10","2","8","20499.9999427055","1025","0","19.9999999441029","10","0.195719971321523","0.112048551440239","0.335992932319641","100000","0.000199999999441029","1110.90670776367","795.211015701294","307.38889503479","11.8514010887593","4065.23196411133","1.23029216192663","34.6390911638737","2.10402965545654"
"2003_Taylor_Knox_channel_island_Copy_1","10","3","11","20499.9994814847","1025","0","19.9999994941314","10","0.432914178479802","0.264063805341721","0.887744963169098","100000","0.000199999994941314","1616.87546539307","720.933924913406","877.495742797852","24.2541552037001","5578.27996826172","1.08115947246552","28.8012868836522","2.10402965545654"
"2003_Taylor_Knox_channel_island_Copy_1","10","4","9","20499.9998130411","1025","0","19.999999817601","10","0.706537952025731","0.483857274055481","1.0317417383194","100000","0.00019999999817601","10515.2470016479","304.191986441612","1059.08306503296","15.4318657964468","4032.07612609863","0.446962670888752","11.1482397392392","2.10402965545654"
