"board","drift_deg","roll_case","element_index","board_speed_setting_ms","rho_v_kg_m2_s","rho_kgm3","scan_speed_ms","turn_radius_m","roll_attack_rad","drag_total_n","drag_friction_n","drag_planing_n","drag_rail_n","drag_rocker_n","lift_total_n","lift_planing_n","contact_area_m2","frontal_section_m2","mass_flux_kg_s","wetted_length_mm","element_width_mm","plane_delta_deg","volume_litres"
"2003_Taylor_Knox_channel_island_Copy_1","0","0","0","10","20499.9992761297","1025","19.9999992937851","100000","0","193.106201171875","2.75417447090149","190.832672119141","0.000220454399823211","0.000220454399823211","508.268768310547","509.823638916016","0.00435508461669087","0.00266966945491731","54.7282218933105","40.0245780944824","108.810256958008","-2.00909352302551","0.0674571543931961"
"2003_Taylor_Knox_channel_island_Copy_1","0","0","1","10","20500.0025291129","1025","20.0000024674272","100000","0","90.8347625732422","10.4268646240234","80.8701629638672","0.00320044998079538","0.00320044998079538","508.267974853516","511.348815917969","0.0147812599316239","0.0044196262024343","90.6023483276367","50.0291938781738","295.452728271484","-1.9582325220108","0.24596244096756"
"2003_Taylor_Knox_channel_island_Copy_1","0","0","2","10","20500.0001467645","1025","20.0000001431849","100000","0","77.1837692260742","17.9838161468506","59.6485939025879","0.00840350240468979","0.00840350240468979","508.266967773438","512.295959472656","0.025733221322298","0.00572381587699056","117.338226318359","100.045570373535","257.214996337891","-1.72972369194031","0.450991809368134"
"2003_Taylor_Knox_channel_island_Copy_1","0","0","3","10","20500.0005670188","1025","20.0000005531891","100000","0","89.6591262817383","58.0626602172852","31.9160442352295","0.113202646374702","0.113202646374702","508.254669189453","515.325622558594","0.0861312225461006","0.0103739658370614","212.666305541992","300.039764404297","287.066009521484","-0.932698488235474","1.88331723213196"
"2003_Taylor_Knox_channel_island_Copy_1","0","0","4","10","20499.999428878","1025","19.9999994428078","100000","0","128.728866577148","105.150939941406","23.5422611236572","0.447838127613068","0.447838127613068","508.228057861328","517.476135253906","0.162075415253639","0.0142000438645482","291.100891113281","450.015014648438","360.155578613281","-0.467531621456146","4.11396217346191"
"2003_Taylor_Knox_channel_island_Copy_1","0","0","5","10","20500.0016839646","1025","20.0000016428922","100000","0","178.657958984375","159.287857055664","19.1880035400391","0.576728463172913","0.576728463172913","508.225494384766","519.261169433594","0.254931807518005","0.0177021380513906","362.893859863281","650.000183105469","392.202667236328","-0.0250287540256977","7.14591550827026"
"2003_Taylor_Knox_channel_island_Copy_1","0","0","6","10","20500.0000090147","1025","20.0000000087948","100000","0","228.945281982422","212.216842651367","16.6735725402832","0.435929596424103","0.435929596424103","508.239593505859","520.657043457031","0.352665364742279","0.0206622984260321","423.577117919922","850.006103515625","414.897430419922","0.214430510997772","10.5490169525146"
"2003_Taylor_Knox_channel_island_Copy_1","0","0","7","10","20500.0007605738","1025","20.0000007420232","100000","0","279.795959472656","265.093505859375","14.8153858184814","0.257084667682648","0.257084667682648","508.257415771484","521.903442382813","0.455920219421387","0.0234320312738419","480.356658935547","1050.01013183594","434.20556640625","0.25079333782196","14.1450977325439"
"2003_Taylor_Knox_channel_island_Copy_1","0","0","8","10","20500.0010202875","1025","20.0000009954025","100000","0","326.151458740234","311.56201171875","13.379020690918","1.57374954223633","1.57374954223633","508.214996337891","522.997619628906","0.545569002628326","0.0258871223777533","530.68603515625","1250.00122070313","436.454772949219","0.0840674340724945","17.1459732055664"
"2003_Taylor_Knox_channel_island_Copy_1","0","0","9","10","20499.9992659701","1025","19.9999992838733","100000","0","374.680053710938","352.803588867188","12.3780469894409","9.85980033874512","9.85980033874512","507.937347412109","523.832153320313","0.635125756263733","0.0279131643474102","572.219848632813","1450.01770019531","438.012420654297","-0.285769313573837","19.6922492980957"
"2003_Taylor_Knox_channel_island_Copy_1","0","0","10","10","20499.9994257334","1025","19.9999994397399","100000","0","442.910766601563","391.548461914063","11.9933805465698","39.7429962158203","39.7429962158203","506.882598876953","524.161376953125","0.722463250160217","0.0291397832334042","597.365539550781","1650.18481445313","437.807464599609","-0.858607113361359","21.6213893890381"
"2003_Taylor_Knox_channel_island_Copy_1","0","0","11","10","20499.9979903017","1025","19.9999980393188","100000","0","553.337646484375","407.159606933594","12.1297788619995","134.530624389648","134.530624389648","502.388153076172","523.891052246094","0.753394484519958","0.0289652366191149","593.787292480469","1750.39685058594","430.413513183594","-1.22109889984131","21.9986934661865"
"2003_Taylor_Knox_channel_island_Copy_1","0","1","0","10","20500.0003808286","1025","20.0000003715401","100000","0.36172679066658","120.532562255859","6.96021890640259","114.07080078125","0.001668615732342","0.001668615732342","508.268493652344","546.025268554688","0.00984752178192139","0.00384924234822392","78.9094696044922","63.820987701416","154.299102783203","-2.25263452529907","0.160608246922493"
"2003_Taylor_Knox_channel_island_Copy_1","0","1","1","10","20500.0006304929","1025","20.000000615115","100000","0.170463770627975","79.9391021728516","16.6577930450439","63.7387084960938","0.00773017201572657","0.00773017201572657","508.267150878906","519.6494140625","0.0234295502305031","0.00555402413010597","113.857498168945","111.432113647461","210.258514404297","-1.87385833263397","0.4201480448246"
"2003_Taylor_Knox_channel_island_Copy_1","0","1","2","10","20500.0009586304","1025","20.0000009352492","100000","0.0947482958436012","88.7585525512695","56.0099906921387","33.0929565429688","0.0903291180729866","0.0903291180729866","508.257843017578","517.476806640625","0.0816021934151649","0.0101736914366484","208.560684204102","301.799346923828","270.385559082031","-0.854377448558807","1.80264699459076"
"2003_Taylor_Knox_channel_island_Copy_1","0","1","3","10","20500.0000271753","1025","20.0000000265125","100000","0.0640608295798302","132.420867919922","108.818916320801","23.6207046508789","0.39247938990593","0.39247938990593","508.233581542969","518.584716796875","0.167464837431908","0.0143937868997455","295.072631835938","492.152648925781","340.270111083984","-0.201240912079811","4.37790393829346"
