"board","drift_deg","roll_case","n_elements","drag_total_n","lift_total_n","incidence_deg_mean","n_incidence","pos_y"
"Poahaku","0","0","12","3717.92070770264","6001.12686157227","6.23707272609075","12","0"
"Poahaku","0","1","12","3241.78539276123","6009.0251159668","6.7557753721873","12","0.0220316238701344"
"Poahaku","0","2","10","1691.62590026855","5042.18481445313","9.07695627212524","10","0.0440632477402687"
"Poahaku","0","3","8","993.289329528809","4071.32354736328","8.93788403272629","8","0.0660948753356934"
"Poahaku","10","0","7","1221.8688659668","3531.74798583984","8.03656366893223","7","0"
"Poahaku","10","1","9","1699.80619049072","4521.11480712891","7.98748911751641","9","0.0220316238701344"
"Poahaku","10","2","11","2087.27587127686","5531.35845947266","8.94280388138511","11","0.0440632477402687"
"Poahaku","10","3","10","1499.27095031738","5084.87432861328","10.2066460847855","10","0.0660948753356934"
"Poahaku","10","4","8","2174.54196929932","3311.35680770874","17.9993343949318","8","0.0881264954805374"
"Poahaku","15","0","7","1214.28832244873","3529.43869018555","8.18513338906424","7","0"
"Poahaku","15","1","7","1127.0578918457","3513.85754394531","9.08100284848894","7","0.0220316238701344"
"Poahaku","15","2","13","72893.75730896","64569.1064758301","11.7268607799823","13","0.0440632477402687"
"Poahaku","15","3","10","1461.29110717773","5101.673828125","11.4855030059814","10","0.0660948753356934"
"Poahaku","15","4","10","2048.02472686768","4645.4825630188","11.5285371780396","10","0.0881264954805374"
"Poahaku","2","0","11","3048.03910827637","5513.7405090332","6.40173168615861","11","0"
"Poahaku","2","1","11","2764.59052276611","5524.14410400391","7.22209514271129","11","0.0220316238701344"
"Poahaku","2","2","11","2093.35819244385","5538.04528808594","8.62969108061357","11","0.0440632477402687"
"Poahaku","2","3","9","1159.55546569824","4578.13305664063","9.57720804214478","9","0.0660948753356934"
"Poahaku","2","4","6","986.272644042969","3063.19964599609","10.0472687880198","6","0.0881264954805374"
"Poahaku","20","0","7","1150.0698928833","3524.53131103516","8.257796560015","7","0"
"Poahaku","20","1","8","1256.98233795166","4012.93069458008","8.59361255168915","8","0.0220316238701344"
"Poahaku","20","2","13","2722.15428161621","6543.01779174805","8.3828134903541","13","0.0440632477402687"
"Poahaku","20","3","10","1592.33808898926","5089.58102416992","10.6996212005615","10","0.0660948753356934"
"Poahaku","20","4","9","18284.4820098877","26914.0499420166","31.9794909689162","9","0.0881264954805374"
"Poahaku","30","0","5","688.318656921387","2516.61264038086","9.1585015296936","5","0"
"Poahaku","30","1","6","724.940803527832","3036.79190063477","10.0972617467244","6","0.0220316238701344"
"Poahaku","30","2","13","2591.2989654541","6545.52984619141","8.41786241531372","13","0.0440632477402687"
"Poahaku","30","3","10","1550.32069396973","5113.05508422852","10.5683129310608","10","0.0660948753356934"
"Poahaku","30","4","11","37106.6844482422","43610.1414489746","19.9653954742561","11","0.0881264954805374"
"Poahaku","45","0","5","559.285110473633","2524.95394897461","9.29602098464966","5","0"
"Poahaku","45","1","7","1028.33478546143","3523.27600097656","8.9226188659668","7","0.0220316238701344"
"Poahaku","45","2","12","1795.18300628662","6073.31814575195","7.8411527077357","12","0.0440632477402687"
"Poahaku","45","3","11","1546.43112945557","5652.28903198242","10.100362517617","11","0.0660948753356934"
"Poahaku","45","4","8","7497.84999084473","4377.61212158203","19.7891888198792","8","0.0881264954805374"
"Poahaku","5","0","10","2502.55967712402","5013.40875244141","6.98268494606018","10","0"
"Poahaku","5","1","10","2186.47149658203","5001.28524780273","7.6186493396759","10","0.0220316238701344"
"Poahaku","5","2","11","2234.96213531494","5539.58752441406","8.83723495223305","11","0.0440632477402687"
"Poahaku","5","3","11","1524.79611968994","5592.80151367188","10.1823185140436","11","0.0660948753356934"
"Poahaku","5","4","11","31253.8346710205","12560.4301147461","27.4304541241039","11","0.0881264954805374"
"Poahaku","60","0","5","820.93172454834","2515.25213623047","7.27375102043152","5","0.0220316238701344"
"Poahaku","60","1","10","2616.31667327881","4999.86520385742","4.77598760128021","10","0.0440632477402687"
"Poahaku","60","2","10","1766.58348846436","5039.50433349609","6.77131412029266","10","0.0660948753356934"
"Poahaku","60","3","10","72158.2222747803","112887.72668457","33.2473957538605","10","0.0881264954805374"
"Poahaku","75","0","5","878.380500793457","2511.33502197266","5.10409979820251","5","0.0220316238701344"
"Poahaku","75","1","10","2983.5493927002","4999.10791015625","4.20207279920578","10","0.0440632477402687"
"Poahaku","75","2","10","2237.24156188965","5032.59222412109","6.19811687469482","10","0.0660948753356934"
"Poahaku","75","3","10","65586.4055328369","97475.35105896","32.826450920105","10","0.0881264954805374"
"Poahaku","90","0","10","13150.1985473633","20814.0117797852","7.44567297697067","10","0.0440632477402687"
"Poahaku","90","1","12","6837.23738861084","12725.449432373","8.5122433702151","12","0.0660948753356934"
"Poahaku","90","2","9","63769.9165496826","97172.489440918","27.7745531929864","9","0.0881264954805374"
