"board","drift_deg","roll_case","element_index","boundary_layer_mm","Cl0_Savitsky","Cl0_theorique","Cv_Savitsky","delta_plan_horizontal_deg","deviation_rail_deg","Fx_friction_n","Fx_planing","Fx_rail_n","Fx_rocker","Fz_planing_n","lamda_Savitsky","laminar_boundary_layer_mm","laminar_turbulent_transition_mm","largeur_B_element_mm","longueur_calcul_largeur_element_mm","longueur_element_mm","longueur_mouillee_element_mm","masse_flux_devie_kg_sec_planing","portance_globale_verticale_n","pression_dynamique_B","section_frontale_flux_devie_m2_planing","surface_contact_m2","surface_coupe_partie_immergee_m2","surface_max_element_m2","trainee_globale_horizontale_n","volume_deplacement_litres","volume_litres","inclinaison_roulis_rad_ligne_attack","inclinaison_roulis_rad_ligne_surface","index_dernier_element_on_attack","index_L1_max","index_L1_min","index_L2_max","index_L2_min","index_nose","index_point_contact","index_point_decrochage","index_point_roulis_avant_dans_tab_index_axe_roulis","index_premier_element_on_attack","index_tail","point_attack_on_outline","incidence_deg_stored","pos_x","pos_y","attack_index_1","attack_index_2","rho_v_kg_m2_s","rho_kgm3","scan_speed_ms","incidence_deg_derived","incidence_deg_residual","n_sub_elements"
"Mini_Simmons","0","0","0","0","0","0","0","3.11647605895996","0","5.00707054138184","117.254837036133","0","0","508.484924316406","0","0","0","247.31428527832","33.2911834716797","0","33.2911834716797","68.8393325805664","507.8759765625","0","0.00336458091624081","0.00823338516056538","0","0","121.836708068848","0","0.168917387723923","-0.0335677564144135","0","9","199","1","387","201","200","-1","0","200","0","0","0","26.3825969696045","0.0166666675359011","0","12","387","20460.0020906852","1023","20.0000020436805","24.1201193515472","-2.26247761805727","10"
"Mini_Simmons","0","0","1","0","0","0","0","2.5951817035675","0","22.5673046112061","50.8478507995605","0","0","498.206298828125","0","0","0","390.239837646484","82.9333267211914","0","82.9333267211914","128.315521240234","503.262908935547","0","0.00627153087407351","0.0323638878762722","0","0","72.9684066772461","0","0.949091076850891","-0.00106454128399491","0","9","199","1","385","201","200","-1","0","200","0","0","0","13.4241847991943","0.0333333350718021","0","16","385","20459.999929314","1023","19.9999999309032","11.1735656577692","-2.25061914142512","10"
"Mini_Simmons","0","0","2","0","0","0","0","2.11158967018127","0","31.0332870483398","42.0396423339844","0","0","492.75341796875","0","0","0","349.195465087891","124.286674499512","0","124.286674499512","149.62663269043","501.834808349609","0","0.00731312902644277","0.043400339782238","0","0","72.6371078491211","0","1.42128086090088","-0.000667007348965853","0","9","199","1","384","201","200","-1","0","200","0","0","0","11.4538259506226","0.0500000007450581","0","18","383","20460.0017515636","1023","20.0000017121834","9.7008466413425","-1.75297930928005","10"
"Mini_Simmons","0","0","3","0","0","0","0","1.73605799674988","0","69.3978042602539","24.087100982666","0","0","459.492340087891","0","0","0","367.998443603516","289.816680908203","0","289.816680908203","222.248336791992","497.773254394531","0","0.010862578637898","0.106652088463306","0","0","93.1088638305664","0","4.5332236289978","-0.000127542269183323","0","9","199","1","379","201","200","-1","0","200","0","0","0","7.40403509140015","0.100000001490116","0","35","366","20459.9979618651","1023","19.9999980076883","5.84574598626238","-1.55828910513777","10"
"Mini_Simmons","0","0","4","0","0","0","0","1.39663505554199","0","108.534301757813","16.2640018463135","0","0","418.434814453125","0","0","0","415.958404541016","413.919647216797","0","413.919647216797","271.206085205078","495.400207519531","0","0.0132554275915027","0.172173365950584","0","0","124.472763061523","0","8.50617504119873","-0.000880364677868783","0","9","199","1","370","201","200","-1","0","200","0","0","0","5.65658044815063","0.150000005960464","0","52","349","20460.0027673897","1023","20.0000027051708","4.41550514963855","-1.24107529851208","10"
"Mini_Simmons","0","0","5","0","0","0","0","1.17628872394562","0","150.838424682617","11.1649589538574","0","0","368.402862548828","0","0","0","427.723114013672","579.410949707031","0","579.410949707031","305.316558837891","493.965972900391","0","0.0149226086214185","0.247827455401421","0","0","161.727600097656","0","13.4201374053955","-0.000540503358934075","0","9","199","1","359","201","200","-1","0","200","0","0","0","4.55559873580933","0.200000002980232","0","70","331","20459.9990915575","1023","19.9999991119819","3.45207918154386","-1.10351955426547","10"
"Mini_Simmons","0","0","6","0","0","0","0","1.092045545578","0","194.669342041016","7.58325052261353","0","0","313.283721923828","0","0","0","466.670532226563","703.538513183594","0","703.538513183594","324.559234619141","493.386779785156","0","0.0158631093800068","0.32832071185112","0","0","202.025177001953","0","18.8836364746094","-0.000629405840300024","0","9","199","1","350","201","200","-1","0","200","0","0","0","3.77621340751648","0.25","0","88","313","20460.0010530219","1023","20.0000010293469","2.76937528748572","-1.00683812003076","10"
"Mini_Simmons","0","0","7","0","0","0","0","0.978693425655365","0","239.177185058594","4.89918184280396","0","0","252.848236083984","0","0","0","479.307922363281","869.033569335938","0","869.033569335938","327.162231445313","493.698272705078","0","0.0159903336316347","0.416534662246704","0","0","243.897232055664","0","24.9212398529053","-0.00012640432396438","0","9","199","1","339","201","200","-1","0","200","0","0","0","3.09183526039124","0.300000011920929","0","107","294","20460.000334081","1023","20.0000003265699","2.20006608336491","-0.891769177026323","10"
"Mini_Simmons","0","0","8","0","0","0","0","0.773256599903107","0","283.508880615234","3.07782578468323","0","0","197.146057128906","0","0","0","484.579254150391","1034.49426269531","0","1034.49426269531","317.709716796875","494.645751953125","0","0.0155283361673355","0.501294493675232","0","0","286.450164794922","0","30.5188961029053","-0.00161378108896315","0","9","199","1","330","201","200","-1","0","200","0","0","0","2.42167901992798","0.349999994039536","0","125","276","20459.9973476354","1023","19.9999974072682","1.77510534476943","-0.646573675158553","10"
"Mini_Simmons","0","0","9","0","0","0","0","0.413540154695511","0","329.277770996094","1.75650060176849","0","0","140.753265380859","0","0","0","497.152984619141","1199.92028808594","0","1199.92028808594","289.955841064453","496.506591796875","0","0.0141718396916986","0.596543967723846","0","0","330.938537597656","0","36.2308502197266","-0.000739280425477773","0","9","199","1","319","201","200","-1","0","200","0","0","0","1.61884570121765","0.400000005960464","0","145","255","20460.0000686079","1023","20.0000000670654","1.3612794089839","-0.257566292233754","10"
