timestamp,speed_ms,roll_rad,turn_radius_m,lift_force_n,yaw_rate_rad_s,roll_rate_rad_s,accel_x_ms2,accel_y_ms2,accel_z_ms2
0.0,7.367260272752375,0.0,1000000000.0,801.8792285324073,7.3672602727523755e-09,0.006698642068963244,-2.3255771874922893,5.427652392647541e-08,2.2672107313387187e-07
0.01,7.344004500877452,6.698642068963245e-05,82074.84818695077,796.8247342632744,8.947935528493721e-05,0.013395815015025082,-2.3126965046321946,0.0006571367879481915,-0.06183525693012852
0.02,7.321006342659731,0.00026791630030050163,20392.63805616134,791.8419465633696,0.0003590024165827724,0.026785754182850032,-2.2871128199520196,0.002628258968832648,-0.12279349942660961
0.03,7.298262244478412,0.0006027015043466331,9008.813447015738,786.9295739172302,0.0008101246948227168,0.04016394423361189,-2.261881386232778,0.00591250247354423,-0.1828903008621117
0.04,7.275768714935076,0.0010711951849727394,5037.557134541712,782.0863535142851,0.0014443049519074058,0.05352451705100303,-2.2369960486844143,0.010508428783913712,-0.24214111016154674
0.05,7.253522323504724,0.0016731918453666938,3205.403833585317,777.3110504903266,0.0022629043640318776,0.06686161224621226,-2.212450785668363,0.016414027320461485,-0.30056103436064496
0.06,7.231519699221709,0.0024084274298969846,2213.378745896536,772.6024571921524,0.003267185840935939,0.08016937972849353,-2.1882397052602087,0.023626718769746487,-0.3581648476021535
0.07,7.2097575293995195,0.0032765794399365646,1617.149069251663,767.9593924645716,0.00445831350151031,0.09344198227120452,-2.164357041915288,0.03214335933593749,-0.41496699985843677
0.08,7.188232558383403,0.004277267075321075,1231.4200312428559,763.380700959005,0.005837352305474855,0.10667359807220392,-2.140797153233809,0.04196024589696877,-0.4709816253898904
0.09,7.166941586334843,0.005410051401380643,967.8166598477359,758.8652524629388,0.007405267840153113,0.1198584233074943,-2.117554516821629,0.05307312204154135,-0.5262225509482547
0.1,7.14588146804697,0.006674435541470961,779.8689266677848,754.4119412495196,0.00916292626067282,0.1329906746769638,-2.0946237272439827,0.06547718495922282,-0.5807033037335053
0.11,7.125049111789964,0.008069864894919919,641.255385591715,750.0196854466034,0.01111109438124307,0.1460645919411363,-2.0719994930690433,0.0791670931520904,-0.6344371191127669
0.12,7.104441478185589,0.009595727380293687,536.1664611917296,745.6874264246009,0.013250439914489705,0.15907444044780386,-2.049676633997599,0.09413697493270658,-0.6874369481092621
0.13,7.084055579110012,0.011251353703875996,454.6443600636083,741.4141282024823,0.01558153185518214,0.17201451364743373,-2.02765007807697,0.11038043766978342,-0.7397154646691106
0.14,7.06388847662405,0.013036017653242362,390.1657283287773,737.1987768713338,0.01810484100405556,0.1848791355962431,-2.0059148589957942,0.1278905777396587,-0.7912850727134022
0.15,7.043937281930096,0.014948936415800858,338.3134830877761,733.040380034875,0.020820740626830214,0.1976626634458664,-1.9844661134569286,0.14665999113872594,-0.8421579129827749
0.16,7.024199154354911,0.01698927092215969,296.01116797065674,726.9159886235569,0.023729507242953793,0.2103594899184909,-1.9546216365672553,0.1666807847092148,-0.917082264425969
0.17,7.004844849198751,0.019156126214170677,261.07616027806296,720.594862391956,0.026830656777463477,0.22296404576639134,-1.9152242235497496,0.1879445879282346,-0.9944134229828858
0.18,6.985894669883916,0.021448551837487517,231.9051960354391,714.2592744938164,0.03012392473007095,0.23547080221478725,-1.8745719372765368,0.21044256520778698,-1.0719215021370383
0.19,6.96735341045322,0.023865542258466422,207.30649193480122,707.9118145414849,0.03360894946138244,0.24787427338694973,-1.8334506385145222,0.23416542865151285,-1.1495748211853924
0.2,6.949225657113626,0.02640603730522651,186.38013892728625,701.5549599544345,0.03728522629669664,0.26016901871048304,-1.7918807497211198,0.25910345121229195,-1.2273430719659115
0.21,6.931515795458798,0.029068922632676082,168.4364735723042,695.1910781603706,0.04115210707307599,0.2723496453037436,-1.7498819746786243,0.28524648019343796,-1.3051972919297474
0.22,6.9142280176200535,0.031853030211301384,152.93987078135194,688.8224288830244,0.04520879991787668,0.2844108103413356,-1.7074733061321012,0.31258395103516207,-1.3831098361529182
0.23,6.897366329336156,0.034757138839502794,139.46930136729284,682.4511665064081,0.049454369253431045,0.29634722339764547,-1.6646730343478744,0.34110490132717247,-1.4610543484125713
0.24,6.880934556933096,0.03777997467925429,127.69017711451944,676.0793425058872,0.053887736021870365,0.30815364876740464,-1.621498756521067,0.3707979849877762,-1.539005731445821
0.25,6.864936354205734,0.040920211814850886,117.33393931177356,669.7089079369699,0.05850767812341651,0.31982490776224154,-1.5779673869642519,0.4016514865496095,-1.6169401165024913
0.26,6.849375209193811,0.044176472834499124,108.18305064591384,663.3417159732769,0.0633128310608656,0.3313558809822242,-1.5340951680117065,0.4336533354921688,-1.6948348322961935
0.27,6.8342544508455,0.04754732943449537,100.05981656786156,656.9795244856871,0.06830168878243387,0.342741510561393,-1.4898976815773235,0.4667911205616128,-1.7726683734516702
0.28,6.8195772555622645,0.051031303045726985,92.8179595925427,650.6239986551892,0.07347260471463941,0.3539768023863139,-1.4453898613076,0.5010521040188718,-1.8504203685397884
0.29,6.805346653619348,0.05462686548222165,86.33619871162725,644.2767136124804,0.07882379297645455,0.3650568282866664,-1.400586005273663,0.5364232357578993,-1.9280715477853174
0.3,6.791565535456791,0.05833243961146031,80.51330699488263,637.9391570978539,0.08435332976558096,0.3759767281968938,-1.3554997891497056,0.5728911672369412,-2.005603710526494
0.31,6.778236657836354,0.062146400046159525,75.26427118717164,631.612732135408,0.09005915490737741,0.3867317122879861,-1.3101442798284069,0.6104422651669484,-2.0829996924993828
0.32,6.765362649860223,0.06606707385722004,70.5172814271706,625.2987597160743,0.0959390735567055,0.39731706306846554,-1.2645319494259954,0.649062624902728,-2.160243333014347
