board,drift_deg,roll_case,element_index,sub_index,rho_v_kg_m2_s,rho_kgm3,scan_speed_ms,incidence_deg_derived,incidence_deg_stored_parent
default_shortboard,0,0,0,0,,,,,19.4426879882813
default_shortboard,0,0,0,1,20460.0014574674,1023.0,20.0000014246993,22.2825895713494,19.4426879882813
default_shortboard,0,0,0,2,20460.0001866875,1023.0,20.0000001824902,22.4596897849263,19.4426879882813
default_shortboard,0,0,0,3,20460.0002026314,1023.0,20.0000001980757,23.2851771136014,19.4426879882813
default_shortboard,0,0,0,4,20459.9999514776,1023.0,19.9999999525685,23.2519829167277,19.4426879882813
default_shortboard,0,0,0,5,20460.0004706761,1023.0,20.0000004600939,22.9529067065575,19.4426879882813
default_shortboard,0,0,0,6,20459.998309775,1023.0,19.9999983477762,22.9523573959522,19.4426879882813
default_shortboard,0,0,0,7,20460.0018928694,1023.0,20.0000018503122,22.4958878896803,19.4426879882813
default_shortboard,0,0,0,8,20460.0001605556,1023.0,20.0000001569459,22.0549025754766,19.4426879882813
default_shortboard,0,0,0,9,20459.9992283011,1023.0,19.9999992456511,22.2778637913121,19.4426879882813
default_shortboard,0,0,1,0,,,,,16.066858291626
default_shortboard,0,0,1,1,20459.9998570438,1023.0,19.9999998602579,18.8459585189318,16.066858291626
default_shortboard,0,0,1,2,20459.9998770848,1023.0,19.9999998798483,19.1842249450476,16.066858291626
default_shortboard,0,0,1,3,20459.9995460478,1023.0,19.999999556254,19.6608843598001,16.066858291626
default_shortboard,0,0,1,4,20459.9992359778,1023.0,19.9999992531552,18.9453880195072,16.066858291626
default_shortboard,0,0,1,5,20460.0000792526,1023.0,20.0000000774707,19.4137424908546,16.066858291626
default_shortboard,0,0,1,6,20460.0005555744,1023.0,20.0000005430835,18.9831206469297,16.066858291626
default_shortboard,0,0,1,7,20460.00100639,1023.0,20.0000009837634,18.6189293587119,16.066858291626
default_shortboard,0,0,1,8,20460.0006809147,1023.0,20.0000006656058,18.457060920683,16.066858291626
default_shortboard,0,0,1,9,20459.9999550899,1023.0,19.9999999560996,18.6941124504272,16.066858291626
default_shortboard,0,0,2,0,,,,,10.0561666488647
default_shortboard,0,0,2,1,20460.0003382035,1023.0,20.0000003305997,11.8916803757019,10.0561666488647
default_shortboard,0,0,2,2,20459.9983858463,1023.0,19.9999984221371,12.1838582872077,10.0561666488647
default_shortboard,0,0,2,3,20459.9988325815,1023.0,19.9999988588284,12.4426754855661,10.0561666488647
default_shortboard,0,0,2,4,20460.0003404861,1023.0,20.000000332831,12.5636776824427,10.0561666488647
default_shortboard,0,0,2,5,20459.9998428253,1023.0,19.9999998463591,12.2063923157952,10.0561666488647
default_shortboard,0,0,2,6,20459.9998312675,1023.0,19.9999998350611,12.4781871449708,10.0561666488647
default_shortboard,0,0,2,7,20459.9995772367,1023.0,19.9999995867417,12.3081504475096,10.0561666488647
default_shortboard,0,0,2,8,20459.9998809368,1023.0,19.9999998836137,12.0086273006989,10.0561666488647
default_shortboard,0,0,2,9,20460.0005091549,1023.0,20.0000004977077,13.0063683131792,10.0561666488647
default_shortboard,0,0,3,0,20459.9995461275,1023.0,19.9999995563319,6.55620874710476,6.09698915481567
default_shortboard,0,0,3,1,20459.9996227799,1023.0,19.9999996312609,6.69058821156155,6.09698915481567
