"board","drift_deg","roll_case","element_index","boundary_layer_mm","Cl0_Savitsky","Cl0_theorique","Cv_Savitsky","delta_plan_horizontal_deg","deviation_rail_deg","Fx_friction_n","Fx_planing","Fx_rail_n","Fx_rocker","Fz_planing_n","lamda_Savitsky","laminar_boundary_layer_mm","laminar_turbulent_transition_mm","largeur_B_element_mm","longueur_calcul_largeur_element_mm","longueur_element_mm","longueur_mouillee_element_mm","masse_flux_devie_kg_sec_planing","portance_globale_verticale_n","pression_dynamique_B","section_frontale_flux_devie_m2_planing","surface_contact_m2","surface_coupe_partie_immergee_m2","surface_max_element_m2","trainee_globale_horizontale_n","volume_deplacement_litres","volume_litres","inclinaison_roulis_rad_ligne_attack","inclinaison_roulis_rad_ligne_surface","index_dernier_element_on_attack","index_L1_max","index_L1_min","index_L2_max","index_L2_min","index_nose","index_point_contact","index_point_decrochage","index_point_roulis_avant_dans_tab_index_axe_roulis","index_premier_element_on_attack","index_tail","point_attack_on_outline","incidence_deg_stored","pos_x","pos_y","attack_index_1","attack_index_2","rho_v_kg_m2_s","rho_kgm3","scan_speed_ms","incidence_deg_derived","incidence_deg_residual","n_sub_elements"
"default_fish","0","0","0","0","0","0","0","0","0","39.3513526916504","38.2232513427734","0","0","504.030120849609","0","0","0","448.979461669922","160.058181762695","0","160.058181762695","171.252197265625","509.263061523438","0","0.00837009772658348","0.0718628391623497","0","0","77.1375198364258","0","1.11416673660278","-0.0205777026712894","0","9","199","1","382","201","200","-1","0","200","0","0","0","12.6574859619141","0.0500000007450581","0","18","382","20459.9997347375","1023","19.9999997407014","6.68860685231035","-5.96887910960371","10"
"default_fish","0","0","1","0","0","0","0","4.52954530715942","0","98.5413360595703","20.6615715026855","0","0","469.622955322266","0","0","0","449.278381347656","373.832153320313","0","373.832153320313","270.278228759766","503.897705078125","0","0.0132100805640221","0.167954713106155","0","0","118.827690124512","0","4.27014923095703","-0.00218120776116848","0","9","199","1","379","201","200","-1","0","200","0","0","0","9.06835174560547","0.100000001490116","0","35","365","20459.9985177891","1023","19.9999985511135","4.51112352060486","-4.55722822500061","10"
"default_fish","0","0","2","0","0","0","0","4.48698329925537","0","161.276428222656","13.3534936904907","0","0","421.265380859375","0","0","0","517.216857910156","534.307922363281","0","534.307922363281","335.552215576172","500.820983886719","0","0.0164004024118185","0.276353061199188","0","0","174.310760498047","0","8.93541049957275","-0.00134504423476756","0","9","199","1","369","201","200","-1","0","200","0","0","0","7.63224458694458","0.150000005960464","0","53","347","20459.9989165123","1023","19.9999989408722","3.40226476070794","-4.22997982623664","10"
"default_fish","0","0","3","0","0","0","0","4.28811550140381","0","219.540115356445","9.20201873779297","0","0","367.623352050781","0","0","0","518.655578613281","748.207885742188","0","748.207885742188","371.444702148438","499.410278320313","0","0.0181546751409769","0.388062179088593","0","0","228.473022460938","0","14.2102613449097","-0.000598541926592588","0","9","199","1","359","201","200","-1","0","200","0","0","0","6.71434497833252","0.200000002980232","0","70","330","20460.0026860326","1023","20.0000026256429","2.68144149758137","-4.03290348075115","10"
"default_fish","0","0","4","0","0","0","0","4.0320930480957","0","283.134826660156","6.1850380897522","0","0","308.172149658203","0","0","0","556.340881347656","908.498107910156","0","908.498107910156","391.058288574219","498.962127685547","0","0.0191133115440607","0.505434632301331","0","0","289.101013183594","0","20.1119556427002","-0.0011274212738499","0","9","199","1","349","201","200","-1","0","200","0","0","0","5.83961391448975","0.25","0","87","313","20459.9965669338","1023","19.9999966441191","2.16719072030181","-3.67242319418794","10"
"default_fish","0","0","5","0","0","0","0","3.40108823776245","0","362.336730957031","-3.93058371543884","0","0","247.659576416016","0","0","0","568.666259765625","1175.28271484375","0","1175.28271484375","-398.825408935547","542.628662109375","0","-0.01949293166399","0.668343663215637","0","0","358.239105224609","0","28.3173027038574","-0.000939235731493682","0","9","199","1","339","201","200","-1","0","200","0","0","0","1.37899553775787","0.300000011920929","0","112","292","20460.0013897505","1023","20.0000013585049","-1.67132755832093","-3.05032309607881","10"
"default_fish","0","0","6","0","0","0","0","2.89966750144958","0","411.640045166016","-2.62923741340637","0","0","194.539916992188","0","0","0","583.133117675781","1335.12316894531","0","1335.12316894531","-371.969573974609","540.766906738281","0","-0.0181803312152624","0.778554558753967","0","0","408.882293701172","0","33.5176544189453","-0.00139131210744381","0","9","199","1","329","201","200","-1","0","200","0","0","0","1.26248717308044","0.349999994039536","0","126","275","20459.9998520566","1023","19.9999998553828","-1.33805776073549","-2.60054493381593","10"
"default_fish","0","0","7","0","0","0","0","2.08746933937073","0","484.834686279297","-1.41341662406921","-3.84941864013672","0","134.735626220703","0","0","0","591.600219726563","1548.04077148438","0","1548.04077148438","-320.399047851563","537.422058105469","0","-0.0156597774475813","0.915821254253387","0","0","521.616821289063","0","39.3104019165039","-0.00757170468568802","0","9","199","1","319","201","200","-1","0","200","0","0","0","0.802014708518982","0.400000005960464","0","146","255","20460.0000813581","1023","20.0000000795289","-0.979757648060925","-1.78177235657991","10"
"default_fish","0","0","8","0","0","0","0","1.11086654663086","0","547.377319335938","0.684667229652405","0","0","74.2401504516602","0","0","0","600.331848144531","1760.90563964844","0","1760.90563964844","248.928237915039","508.196716308594","0","0.0121665801852942","1.0571277141571","0","0","548.013305664063","0","43.8821868896484","-0.000567116250749677","0","8","199","1","309","201","200","-1","0","200","1","0","0","1.46232306957245","0.449999988079071","0","169","232","20460.0006019704","1023","20.0000005884363","0.659436945618014","-0.802886123954434","10"
"default_fish","0","0","9","0","0","0","0","0.560908615589142","0","561.688110351563","0.625363111495972","-771.286743164063","0","72.0127029418945","0","0","0","587.178527832031","1867.41625976563","0","1867.41625976563","249.27294921875","520.187133789063","0","0.0121834278106689","1.09650671482086","0","0","1333.52905273438","0","44.702751159668","-0.0261781178414822","0","7","199","1","306","201","200","-1","0","200","1","0","0","1.10583865642548","0.466666668653488","0","176","224","20460.001330698","1023","20.0000013007801","0.636633901542167","-0.469204754883309","10"
"default_fish","0","0","10","0","0","0","0","-0.0364167131483555","0","579.608764648438","0.524730920791626","-1020.50250244141","0","73.4452209472656","0","0","0","579.552734375","1974.05126953125","0","1974.05126953125","277.383239746094","530.03564453125","0","0.0135573446750641","1.14406669139862","0","0","1604.76049804688","0","45.0535850524902","-0.0460587553679943","0","6","199","1","303","201","200","-1","0","200","2","0","0","0.777288377285004","0.483333349227905","0","184","216","20459.9976171058","1023","19.9999976706802","0.678978539428326","-0.0983098378566774","10"
"default_fish","0","1","0","0","0","0","0","4.75832271575928","0","30.8172721862793","44.1304664611816","0","0","509.024597167969","0","0","0","372.019195556641","156.976303100586","0","156.976303100586","152.544830322266","510.662994384766","0","0.00745575875043869","0.0583981983363628","0","0","74.5036926269531","0","0.797429323196411","0.0677779912948608","0","9","207","0","390","217","207","-1","0","216","0","6","0","13.8707628250122","0.0333333350718021","0.0313440002501011","24","386","20460.0008434138","1023","20.0000008244514","7.3350313473111","-6.53573147770111","10"
"default_fish","0","1","1","0","0","0","0","4.75832271575928","0","39.5060577392578","38.124942779541","0","0","505.473693847656","0","0","0","451.720825195313","156.976303100586","0","156.976303100586","172.649139404297","509.423370361328","0","0.00843837391585112","0.0709094628691673","0","0","77.196891784668","0","1.13394522666931","0.0799511894583702","0","9","207","0","389","217","207","-1","0","216","0","6","0","12.6034374237061","0.0500000007450581","0.0313440002501011","24","380","20460.0010767457","1023","20.0000010525374","6.83451334789329","-5.76892407581276","10"
