"board","drift_deg","roll_case","element_index","boundary_layer_mm","Cl0_Savitsky","Cl0_theorique","Cv_Savitsky","delta_plan_horizontal_deg","deviation_rail_deg","Fx_friction_n","Fx_planing","Fx_rail_n","Fx_rocker","Fz_planing_n","lamda_Savitsky","laminar_boundary_layer_mm","laminar_turbulent_transition_mm","largeur_B_element_mm","longueur_calcul_largeur_element_mm","longueur_element_mm","longueur_mouillee_element_mm","masse_flux_devie_kg_sec_planing","portance_globale_verticale_n","pression_dynamique_B","section_frontale_flux_devie_m2_planing","surface_contact_m2","surface_coupe_partie_immergee_m2","surface_max_element_m2","trainee_globale_horizontale_n","volume_deplacement_litres","volume_litres","inclinaison_roulis_rad_ligne_attack","inclinaison_roulis_rad_ligne_surface","index_dernier_element_on_attack","index_L1_max","index_L1_min","index_L2_max","index_L2_min","index_nose","index_point_contact","index_point_decrochage","index_point_roulis_avant_dans_tab_index_axe_roulis","index_premier_element_on_attack","index_tail","point_attack_on_outline","incidence_deg_stored","pos_x","pos_y","attack_index_1","attack_index_2","rho_v_kg_m2_s","rho_kgm3","scan_speed_ms","incidence_deg_derived","incidence_deg_residual","n_sub_elements"
"default_shortboard_Copy_3","0","0","0","0","0","0","0","-2.36787271499634","0","4.14662456512451","583.164978027344","0","0","995.524841308594","0","0","0","NaN","0","0","0","99.5524826049805","992.592651367188","0","0.00485621858388186","0.00783770065754652","0","0","9696.9765625","50.9988784790039","0.145345270633698","0","0","8","199","1","384","201","200","-1","0","200","0","0","0","45","0.0166666675359011","0","13","384","20500.0003367646","1025","20.0000003285508","NaN","NaN","10"
"default_shortboard_Copy_3","0","0","1","0","0","0","0","-2.36787271499634","0","13.8261489868164","70.6658706665039","0.00456885946914554","0.00456885946914554","516.395629882813","0","0","0","225.251602172852","100.021476745605","0","100.021476745605","102.972145080566","512.805297851563","0","0.00502303102985024","0.0225299969315529","0","0","84.0222702026367","50.9988784790039","0.631405174732208","0","0","8","199","1","383","201","200","-1","0","200","0","0","0","12.3785543441772","0.0333333350718021","0","17","383","20500.0017855029","1025","20.000001741954","12.8822765344411","0.50372219026382","10"
"default_shortboard_Copy_3","0","0","2","0","0","0","0","-2.09352803230286","0","28.7801113128662","46.8995018005371","0.03085707873106","0.03085707873106","517.885375976563","0","0","0","302.838531494141","150.044662475586","0","150.044662475586","148.855392456055","512.801025390625","0","0.00726123852655292","0.0454393066465855","0","0","75.2580184936523","50.9988784790039","1.44940137863159","0","0","9","199","1","382","201","200","-1","0","200","0","0","0","8.0963773727417","0.0500000007450581","0","20","382","20500.0003665656","1025","20.0000003576249","9.19533566385403","1.09895829111233","10"
"default_shortboard_Copy_3","0","0","3","0","0","0","0","-1.34668576717377","0","64.5436019897461","30.6946239471436","0.221456125378609","0.221456125378609","520.261474609375","0","0","0","347.994110107422","300.057678222656","0","300.057678222656","225.311157226563","512.780090332031","0","0.0109907872974873","0.104418307542801","0","0","95.0238800048828","50.9988784790039","3.71842622756958","0","0","9","199","1","379","201","200","-1","0","200","0","0","0","5.67694139480591","0.100000001490116","0","33","368","20500.0016038954","1025","20.000001564776","6.04199006873297","0.36504867392706","10"
"default_shortboard_Copy_3","0","0","4","0","0","0","0","-0.733210623264313","0","112.408973693848","23.1578636169434","0.797395050525665","0.797395050525665","522.333740234375","0","0","0","402.614440917969","450.029235839844","0","450.029235839844","302.160186767578","512.735046386719","0","0.0147395208477974","0.181188270449638","0","0","135.948348999023","50.9988784790039","7.1696572303772","0","0","9","199","1","369","201","200","-1","0","200","0","0","0","4.85202407836914","0.150000005960464","0","50","351","20500.0006369089","1025","20.0000006213745","4.6661220345854","-0.185902043783737","10"
"default_shortboard_Copy_3","0","0","5","0","0","0","0","-0.134175941348076","0","167.939117431641","19.1302852630615","1.25986385345459","1.25986385345459","524.053039550781","0","0","0","428.792205810547","650.001647949219","0","650.001647949219","372.860961914063","512.715454101563","0","0.0181883405894041","0.278715640306473","0","0","187.93098449707","50.9988784790039","11.8899202346802","0","0","9","199","1","359","201","200","-1","0","200","0","0","0","4.5309009552002","0.200000002980232","0","76","338","20499.9988911181","1025","19.999998918164","3.7416494621456","-0.789251493054596","10"
"default_shortboard_Copy_3","0","0","6","0","0","0","0","0.214494645595551","0","222.442718505859","16.6667823791504","1.05970430374146","1.05970430374146","525.451721191406","0","0","0","447.152435302734","850.00537109375","0","850.00537109375","433.516143798828","512.737182617188","0","0.0211471300572157","0.380081981420517","0","0","239.78450012207","50.9988784790039","16.8786792755127","0","0","9","199","1","349","201","200","-1","0","200","0","0","0","4.33902406692505","0.25","0","93","317","20499.9989419797","1025","19.999998967785","3.18948909692888","-1.14953496999617","10"
"default_shortboard_Copy_3","0","0","7","0","0","0","0","0.312780231237411","0","278.974182128906","14.7622871398926","0.49684140086174","0.49684140086174","526.767028808594","0","0","0","462.006927490234","1050.01428222656","0","1050.01428222656","493.094146728516","512.78271484375","0","0.0240533743053675","0.485113859176636","0","0","293.860534667969","50.9988784790039","22.1571750640869","0","0","9","199","1","339","201","200","-1","0","200","0","0","0","3.99330115318298","0.300000011920929","0","110","295","20499.9988969732","1025","19.9999989238763","2.84205879787735","-1.15124235530563","10"
"default_shortboard_Copy_3","0","0","8","0","0","0","0","0.160567373037338","0","327.731414794922","13.4106636047363","2.77245330810547","2.77245330810547","527.838745117188","0","0","0","465.31640625","1250.00439453125","0","1250.00439453125","543.212890625","512.724853515625","0","0.0264981873333454","0.581647574901581","0","0","343.548736572266","50.9988784790039","26.8143653869629","0","0","9","199","1","329","201","200","-1","0","200","0","0","0","3.53299140930176","0.349999994039536","0","128","276","20500.0018979192","1025","20.0000018516285","2.61113444608786","-0.921856963213898","10"
"default_shortboard_Copy_3","0","0","9","0","0","0","0","-0.242073908448219","0","375.157257080078","12.2738924026489","21.4327430725098","21.4327430725098","528.8212890625","0","0","0","470.431884765625","1450.01171875","0","1450.01171875","591.34130859375","512.154418945313","0","0.0288459174335003","0.682131767272949","0","0","408.496185302734","50.9988784790039","30.8950653076172","0","0","8","199","1","319","201","200","-1","0","200","1","0","0","2.81386256217957","0.400000005960464","0","149","255","20500.0000418428","1025","20.0000000408222","2.42364077733069","-0.390221784848873","10"
