"board","drift_deg","roll_case","n_elements","drag_total_n","lift_total_n","incidence_deg_mean","n_incidence","pos_y"
"default_shortboard_Copy_3","0","0","12","13191.2397918701","6602.27575683594","8.1864144106706","12","0"
"default_shortboard_Copy_3","0","1","10","2306.37952423096","5108.79516601563","8.67997398376465","10","0.0269985105842352"
"default_shortboard_Copy_3","0","2","8","1849.32754516602","4075.24282836914","7.51299098134041","8","0.0539970211684704"
"default_shortboard_Copy_3","0","3","7","10878.7432403564","3390.08679199219","12.5483867100307","7","0.0809955298900604"
"default_shortboard_Copy_3","0","4","6","1430.95245361328","2760.98579406738","19.5060084660848","6","0.107994042336941"
"default_shortboard_Copy_3","10","0","9","11067.6642608643","4981.01556396484","10.3893253273434","9","0"
"default_shortboard_Copy_3","10","1","9","1730.81865692139","4613.20031738281","9.47073907322354","9","0.0269985105842352"
"default_shortboard_Copy_3","10","2","7","1102.25395202637","3587.71575927734","8.11183023452759","7","0.0539970211684704"
"default_shortboard_Copy_3","10","3","10","1788.19536590576","5117.01861572266","9.62862012386322","10","0.0809955298900604"
"default_shortboard_Copy_3","10","4","9","1642.80210113525","4603.6455078125","16.2941410806444","9","0.107994042336941"
"default_shortboard_Copy_3","15","0","10","1995.01847076416","5126.34368896484","6.87998101711273","10","0"
"default_shortboard_Copy_3","15","1","9","1663.77897644043","4612.82745361328","9.19317989879184","9","0.0269985105842352"
"default_shortboard_Copy_3","15","2","7","1113.842628479","3586.67108154297","7.85464041573661","7","0.0539970211684704"
"default_shortboard_Copy_3","15","3","9","1496.83103942871","4607.03021240234","9.70273886786567","9","0.0809955298900604"
"default_shortboard_Copy_3","15","4","10","1395.47192382813","4175.29612731934","17.4110538005829","10","0.107994042336941"
"default_shortboard_Copy_3","2","0","11","12750.0131912231","6231.56036376953","8.61195839535106","11","0"
"default_shortboard_Copy_3","2","1","12","3267.06800842285","6133.5329284668","8.0070618391037","12","0.0269985105842352"
"default_shortboard_Copy_3","2","2","8","1625.53615570068","4089.28329467773","7.40596848726273","8","0.0539970211684704"
"default_shortboard_Copy_3","2","3","7","10811.1650848389","3427.19137573242","11.9895516804286","7","0.0809955298900604"
"default_shortboard_Copy_3","2","4","8","1618.43051147461","3364.65501403809","20.6211355924606","8","0.107994042336941"
"default_shortboard_Copy_3","20","0","10","2089.53847503662","5123.40353393555","6.77887392044067","10","0"
"default_shortboard_Copy_3","20","1","9","1662.72979736328","4610.91986083984","8.83597018983629","9","0.0269985105842352"
"default_shortboard_Copy_3","20","2","7","1167.39085388184","3584.77810668945","7.97707598549979","7","0.0539970211684704"
"default_shortboard_Copy_3","20","3","9","1579.93379211426","4601.96069335938","8.90293886926439","9","0.0809955298900604"
"default_shortboard_Copy_3","20","4","11","1717.56209564209","4727.50691223145","16.2002382711931","11","0.107994042336941"
"default_shortboard_Copy_3","30","0","7","1169.50347900391","3585.5166015625","8.39044833183289","7","0"
"default_shortboard_Copy_3","30","1","8","1641.96746826172","4092.12231445313","6.55013689398766","8","0.0269985105842352"
"default_shortboard_Copy_3","30","2","9","1936.10566711426","4597.79653930664","6.63593586285909","9","0.0539970211684704"
"default_shortboard_Copy_3","30","3","9","1787.7243347168","4587.93621826172","8.52558755874634","9","0.0809955298900604"
"default_shortboard_Copy_3","30","4","11","2248.74703979492","4719.36556625366","15.5268633148887","11","0.107994042336941"
"default_shortboard_Copy_3","45","0","2","346.681594848633","1023.22286987305","4.77844452857971","2","0"
